,pair,country_code_alpha2_A,country_code_alpha2_B,Censored_Category_Similarity,Blocking_Proportion_Similarity,Overall_Similarity,country_code_alpha3_A,country_code_alpha3_B
1374,"('US', 'LT')",US,LT,0.9961003582963696,0.9973404645320488,0.9967204114142092,USA,LTU
1381,"('US', 'NZ')",US,NZ,0.9953071183217651,0.9981135538992988,0.996710336110532,USA,NZL
645,"('JP', 'NZ')",JP,NZ,0.9963693906534666,0.9968900211538867,0.9966297059036766,JPN,NZL
958,"('NO', 'CA')",NO,CA,0.9934134417017991,0.9996538796675506,0.9965336606846749,NOR,CAN
1379,"('US', 'NL')",US,NL,0.9949652201278921,0.9980675629146796,0.9965163915212858,USA,NLD
424,"('FR', 'DK')",FR,DK,0.9929240539671901,1.0,0.9964620269835951,FRA,DNK
631,"('JP', 'HU')",JP,HU,0.9944169913767525,0.9983675594993145,0.9963922754380335,JPN,HUN
1371,"('US', 'JP')",US,JP,0.9939590506684383,0.9987769282038734,0.9963679894361559,USA,JPN
924,"('NL', 'HU')",NL,HU,0.9974386562604588,0.9952111287192944,0.9963248924898767,NLD,HUN
198,"('CA', 'DK')",CA,DK,0.9929546887559938,0.9996171365749962,0.996285912665495,CAN,DNK
956,"('NO', 'BE')",NO,BE,0.9922983461629878,0.9998732079334159,0.9960857770482019,NOR,BEL
919,"('NL', 'ES')",NL,ES,0.9922347482823409,0.9998841466585882,0.9960594474704645,NLD,ESP
640,"('JP', 'MD')",JP,MD,0.9942856795528867,0.9977914013732897,0.9960385404630883,JPN,MDA
377,"('ES', 'MD')",ES,MD,0.9975198448284195,0.9945186563025711,0.9960192505654952,ESP,MDA
48,"('AU', 'LT')",AU,LT,0.9925954333952534,0.9992787560820837,0.9959370947386685,AUS,LTU
370,"('ES', 'HU')",ES,HU,0.9967582849700672,0.9950948144285959,0.9959265496993316,ESP,HUN
55,"('AU', 'NZ')",AU,NZ,0.9918047972996297,0.9999490764492396,0.9958769368744347,AUS,NZL
1349,"('US', 'AU')",US,AU,0.9936831196804038,0.9980621693992517,0.9958726445398278,USA,AUS
25,"('AU', 'AT')",AU,AT,0.9918110494012777,0.999884952024969,0.9958480007131234,AUS,AUT
991,"('NZ', 'HU')",NZ,HU,0.9964272879006656,0.9952571197039146,0.99584220380229,NZL,HUN
917,"('NL', 'DK')",NL,DK,0.9934372010700624,0.9982224392555652,0.9958298201628137,NLD,DNK
1348,"('US', 'AT')",US,AT,0.9935599706598021,0.997946660474933,0.9957533155673675,USA,AUT
771,"('LT', 'HU')",LT,HU,0.9969828980553138,0.9944840303366647,0.9957334641959892,LTU,HUN
40,"('AU', 'HU')",AU,HU,0.996243730551952,0.9952057352038676,0.9957247328779097,AUS,HUN
53,"('AU', 'NL')",AU,NL,0.991221726103335,0.9999950674338587,0.9956083967685969,AUS,NLD
757,"('LT', 'AT')",LT,AT,0.9916430400380692,0.9993942650064024,0.9955186525222358,LTU,AUT
45,"('AU', 'JP')",AU,JP,0.9940949174590707,0.9968386366538385,0.9954667770564547,AUS,JPN
773,"('LT', 'IL')",LT,IL,0.9905874754169647,0.9999297437741589,0.9952586095955618,LTU,ISR
978,"('NZ', 'AT')",NZ,AT,0.990469846612436,0.9998335675249208,0.9951517070686784,NZL,AUT
928,"('NL', 'IS')",NL,IS,0.9918492458701028,0.9984268669866571,0.9951380564283799,NLD,ISL
1361,"('US', 'ES')",US,ES,0.9922045322314847,0.9979512486239811,0.9950778904277329,USA,ESP
607,"('IS', 'IL')",IS,IL,0.9923919278431093,0.9976290514288996,0.9950104896360044,ISL,ISR
638,"('JP', 'LT')",JP,LT,0.9937993175473384,0.9961169317866366,0.9949581246669875,JPN,LTU
315,"('CO', 'SC')",CO,SC,0.9932385840454525,0.9966242354929622,0.9949314097692074,COL,SYC
1043,"('PE', 'SC')",PE,SC,0.9927633018222541,0.9970862607200929,0.9949247812711735,PER,SYC
1376,"('US', 'MD')",US,MD,0.9932691622990043,0.9965678686278776,0.994918515463441,USA,MDA
810,"('LU', 'GR')",LU,GR,0.9907852943394293,0.9989960203586271,0.9948906573490282,LUX,GRC
993,"('NZ', 'IL')",NZ,IL,0.9905451257315456,0.9991566544069088,0.9948508900692272,NZL,ISR
1382,"('US', 'PE')",US,PE,0.9931568371459091,0.996536172150778,0.9948465046483436,USA,PER
50,"('AU', 'MD')",AU,MD,0.9950200506565583,0.9946295770778427,0.9948248138672005,AUS,MDA
965,"('NO', 'IL')",NO,IL,0.9912743873479429,0.9982903491572964,0.9947823682526197,NOR,ISR
321,"('CO', 'US')",CO,US,0.9933844968104159,0.9960741469236474,0.9947293218670317,COL,USA
297,"('CO', 'KE')",CO,KE,0.9964333860115995,0.9930178942703985,0.994725640140999,COL,KEN
372,"('ES', 'IL')",ES,IL,0.9900924163414347,0.9993189596822275,0.9947056880118311,ESP,ISR
307,"('CO', 'NZ')",CO,NZ,0.9951908266273437,0.9941872398736595,0.9946890332505016,COL,NZL
510,"('HU', 'IL')",HU,IL,0.9949578523851028,0.9944133131615369,0.9946855827733199,HUN,ISR
1389,"('US', 'SC')",US,SC,0.9898274727469643,0.9994503723799717,0.994638922563468,USA,SYC
909,"('NL', 'AT')",NL,AT,0.9893943890347985,0.999879558509541,0.9946369737721698,NLD,AUT
626,"('JP', 'ES')",JP,ES,0.9923900625905051,0.996727715878568,0.9945588892345365,JPN,ESP
76,"('BE', 'DK')",BE,DK,0.9898475772937246,0.9991433022773886,0.9944954397855565,BEL,DNK
685,"('KE', 'MX')",KE,MX,0.9925729750574722,0.9963843980038543,0.9944786865306632,KEN,MEX
998,"('NZ', 'MD')",NZ,MD,0.994264159024549,0.9946809615778899,0.9944725603012194,NZL,MDA
291,"('CO', 'HU')",CO,HU,0.9899459120436901,0.9989305811190315,0.9944382465813608,COL,HUN
1178,"('SE', 'GR')",SE,GR,0.9899436861818187,0.9988977833803184,0.9944207347810685,SWE,GRC
643,"('JP', 'NL')",JP,NL,0.9918916099534114,0.9968440301692665,0.994367820061339,JPN,NLD
296,"('CO', 'JP')",CO,JP,0.9911295512833991,0.9972976796690605,0.9942136154762298,COL,JPN
1160,"('SC', 'AT')",SC,AT,0.9909513036688254,0.9973965719056181,0.9941739377872219,SYC,AUT
616,"('JP', 'AT')",JP,AT,0.9915642383840562,0.9967231277295209,0.9941436830567885,JPN,AUT
1037,"('PE', 'NZ')",PE,NZ,0.9935049413252067,0.9946492651007912,0.9940771032129989,PER,NZL
689,"('KE', 'PE')",KE,PE,0.9954343921838732,0.992555869043268,0.9939951306135706,KEN,PER
665,"('KE', 'BR')",KE,BR,0.9928077607899548,0.9951759316554621,0.9939918462227084,KEN,BRA
300,"('CO', 'LT')",CO,LT,0.9945269207266115,0.9934141505064096,0.9939705356165105,COL,LTU
603,"('IS', 'CZ')",IS,CZ,0.9891312632746504,0.9987856017415859,0.9939584325081181,ISL,CZE
995,"('NZ', 'IS')",NZ,IS,0.9894388635674148,0.9984728579712773,0.9939558607693461,NZL,ISL
646,"('JP', 'PE')",JP,PE,0.9901100327222652,0.9977597048961911,0.9939348688092282,JPN,PER
1027,"('PE', 'HU')",PE,HU,0.9883953985924674,0.9993926063461632,0.9938940024693153,PER,HUN
1014,"('PE', 'AT')",PE,AT,0.9932449136564618,0.9944823716764255,0.9938636426664437,PER,AUT
791,"('LT', 'SC')",LT,SC,0.9908826299084393,0.9967903759627339,0.9938365029355867,LTU,SYC
784,"('LT', 'PE')",LT,PE,0.9936686786544566,0.9938761757335401,0.9937724271939984,LTU,PER
779,"('LT', 'MD')",LT,MD,0.9935567947971199,0.9939078722106398,0.9937323335038799,LTU,MDA
498,"('HU', 'AT')",HU,AT,0.9921681172445189,0.9950902262795488,0.9936291717620338,HUN,AUT
42,"('AU', 'IL')",AU,IL,0.9879648914796726,0.999208038906957,0.9935864651933148,AUS,ISR
64,"('AU', 'SE')",AU,SE,0.9892025409595716,0.9979093670858599,0.9935559540227157,AUS,SWE
866,"('MX', 'HU')",MX,HU,0.9914685549270944,0.9955640773855768,0.9935163161563356,MEX,HUN
964,"('NO', 'GR')",NO,GR,0.9876734999774949,0.9993092233512125,0.9934913616643537,NOR,GRC
936,"('NL', 'NO')",NL,NO,0.9891822879225718,0.9974925335995388,0.9933374107610553,NLD,NOR
28,"('AU', 'CA')",AU,CA,0.9887354521245927,0.9978445083967027,0.9932899802606476,AUS,CAN
273,"('CO', 'AT')",CO,AT,0.9925289907611873,0.9940203464492948,0.993274668605241,COL,AUT
302,"('CO', 'MD')",CO,MD,0.9868045977056297,0.9995067392450563,0.993155668475343,COL,MDA
677,"('KE', 'HU')",KE,HU,0.994262534406248,0.9919480144401446,0.9931052744231963,KEN,HUN
1181,"('SE', 'IL')",SE,IL,0.9874017142134983,0.9987017891281894,0.9930517516708439,SWE,ISR
1006,"('NZ', 'SC')",NZ,SC,0.9883812973465915,0.997563465329984,0.9929723813382878,NZL,SYC
1368,"('US', 'IL')",US,IL,0.9886140103548676,0.9972697473569221,0.9929418788558948,USA,ISR
1034,"('PE', 'MD')",PE,MD,0.985647580215995,0.999968764472188,0.9928081723440915,PER,MDA
523,"('HU', 'SC')",HU,SC,0.9878663975368112,0.9976941153232173,0.9927802564300142,HUN,SYC
33,"('AU', 'DK')",AU,DK,0.9871700121467234,0.9982278327709931,0.9926989224588583,AUS,DNK
870,"('MX', 'IS')",MX,IS,0.9929652867610412,0.9923483391182152,0.9926568129396283,MEX,ISL
933,"('NL', 'MD')",NL,MD,0.9906131626523702,0.9946349705932696,0.9926240666228199,NLD,MDA
357,"('ES', 'AT')",ES,AT,0.9851623857444258,0.9999958728002395,0.9925791292723327,ESP,AUT
811,"('LU', 'IL')",LU,IL,0.9864771663293139,0.9986035521498808,0.9925403592395974,LUX,ISR
506,"('HU', 'DK')",HU,DK,0.9914456125499991,0.9934331070255741,0.9924393597877865,HUN,DNK
610,"('IS', 'PT')",IS,PT,0.9869962669603669,0.997842669797301,0.9924194683788339,ISL,PRT
775,"('LT', 'IS')",LT,IS,0.9870947968620799,0.9976997686040273,0.9923972827330536,LTU,ISL
829,"('MD', 'AT')",MD,AT,0.9902018538439259,0.9945140681535241,0.992357960998725,MDA,AUT
342,"('DK', 'GR')",DK,GR,0.9861252479919865,0.9985793176951852,0.9923522828435858,DNK,GRC
636,"('JP', 'KE')",JP,KE,0.9943033304513759,0.9903151129901725,0.9923092217207742,JPN,KEN
684,"('KE', 'MD')",KE,MD,0.9917957985171951,0.9925241725661693,0.9921599855416823,KEN,MDA
934,"('NL', 'MX')",NL,MX,0.9930873383964314,0.9907747451555857,0.9919310417760085,NLD,MEX
688,"('KE', 'NZ')",KE,NZ,0.9963876210454088,0.9872046731947726,0.9917961471200907,KEN,NZL
946,"('NL', 'SE')",NL,SE,0.9856276222093167,0.9979039735704319,0.9917657978898743,NLD,SWE
512,"('HU', 'IS')",HU,IS,0.9867117741497973,0.9967847226819239,0.9917482484158606,HUN,ISL
633,"('JP', 'IL')",JP,IL,0.9873980041688862,0.9960462146115089,0.9917221093901976,JPN,ISR
365,"('ES', 'DK')",ES,DK,0.984944292273605,0.9983387535462637,0.9916415229099343,ESP,DNK
202,"('CA', 'IL')",CA,IL,0.9845645157914368,0.9986369304390323,0.9916007231152346,CAN,ISR
37,"('AU', 'FR')",AU,FR,0.9849528710206662,0.9982273718217065,0.9915901214211864,AUS,FRA
653,"('JP', 'SC')",JP,SC,0.9836623605975212,0.9993270167731894,0.9914946886853553,JPN,SYC
563,"('IL', 'AT')",IL,AT,0.9836462165594371,0.9993235478312746,0.9914848821953559,ISR,AUT
876,"('MX', 'NZ')",MX,NZ,0.99213205764827,0.9908207361402049,0.9914763968942375,MEX,NZL
1370,"('US', 'IS')",US,IS,0.983025280645158,0.9996411568773091,0.9913332187612336,USA,ISL
54,"('AU', 'NO')",AU,NO,0.9851072879330113,0.9974979271149668,0.991302607523989,AUS,NOR
305,"('CO', 'NL')",CO,NL,0.9883787288560899,0.9941412488890403,0.9912599888725651,COL,NLD
868,"('MX', 'IL')",MX,IL,0.9924299666201346,0.9899769295978282,0.9912034481089814,MEX,ISR
641,"('JP', 'MX')",JP,MX,0.9884527903371862,0.9939311759356059,0.991191983136396,JPN,MEX
1372,"('US', 'KE')",US,KE,0.9931764435056406,0.9890915802447593,0.9911340118751999,USA,KEN
303,"('CO', 'MX')",CO,MX,0.9856237948998999,0.9966339572158319,0.9911288760578659,COL,MEX
63,"('AU', 'SC')",AU,SC,0.9846583161656559,0.9975120808299368,0.9910851984977964,AUS,SYC
945,"('NL', 'SC')",NL,SC,0.9846065858275735,0.9975174743453648,0.9910620300864692,NLD,SYC
916,"('NL', 'CZ')",NL,CZ,0.9823968421304997,0.9996417261943578,0.9910192841624288,NLD,CZE
776,"('LT', 'KE')",LT,KE,0.9955301286252722,0.9864315838275226,0.9909808562263974,LTU,KEN
912,"('NL', 'CA')",NL,CA,0.9839947036525729,0.9978391148812749,0.9909169092669239,NLD,CAN
873,"('MX', 'MD')",MX,MD,0.985484751622209,0.9961402355116017,0.9908124935669054,MEX,MDA
765,"('LT', 'DK')",LT,DK,0.9826583106760239,0.998949537638196,0.99080392415711,LTU,DNK
663,"('KE', 'AT')",KE,AT,0.9944844314362064,0.9870377797704067,0.9907611056033065,KEN,AUT
932,"('NL', 'LU')",NL,LU,0.9835212307657492,0.9978057365921233,0.9906634836789363,NLD,LUX
780,"('LT', 'MX')",LT,MX,0.9911894643754318,0.9900476467729549,0.9906185555741933,LTU,MEX
1475,"('ZA', 'PT')",ZA,PT,0.9819814914446949,0.9991957566633035,0.9905886240539992,ZAF,PRT
938,"('NL', 'PE')",NL,PE,0.9864186967932945,0.994603274116171,0.9905109854547327,NLD,PER
193,"('CA', 'AT')",CA,AT,0.982974637337892,0.9979600173210204,0.9904673273294562,CAN,AUT
839,"('MD', 'IL')",MD,IL,0.9869765176949162,0.9938371550355121,0.9904068363652141,MDA,ISR
517,"('HU', 'NO')",HU,NO,0.9880944038289611,0.9927032013695467,0.9903988025992538,HUN,NOR
430,"('FR', 'IL')",FR,IL,0.9817663958371098,0.9990197938640362,0.990393094850573,FRA,ISR
1085,"('RO', 'FR')",RO,FR,0.9980551624373719,0.9827261907723093,0.9903906766048406,ROU,FRA
380,"('ES', 'NO')",ES,NO,0.9830335347265998,0.9976088478902373,0.9903211913084186,ESP,NOR
389,"('ES', 'SE')",ES,SE,0.9825715524038182,0.9980202878611304,0.9902959201324744,ESP,SWE
1020,"('PE', 'CR')",PE,CR,0.9872037010579044,0.993332781200366,0.9902682411291353,PER,CRI
1062,"('PT', 'CZ')",PT,CZ,0.9813743595217242,0.9990575290050016,0.9902159442633629,PRT,CZE
1179,"('SE', 'HU')",SE,HU,0.9872744967523145,0.9931146413404408,0.9901945690463776,SWE,HUN
635,"('JP', 'IS')",JP,IS,0.9818299658010923,0.9984176241318959,0.990123794966494,JPN,ISL
274,"('CO', 'AU')",CO,AU,0.9860218428314027,0.9941358553736125,0.9900788491025077,COL,AUS
929,"('NL', 'KE')",NL,KE,0.9929747630270477,0.9871586822101523,0.9900667226186,NLD,KEN
1229,"('SK', 'AT')",SK,AT,0.9805334797210578,0.9992309884532664,0.989882234087162,SVK,AUT
695,"('KE', 'SC')",KE,SC,0.990016150281631,0.9896416688140752,0.9898289095478532,KEN,SYC
1359,"('US', 'DK')",US,DK,0.9832562728148673,0.9962895412209583,0.9897729070179128,USA,DNK
855,"('MX', 'BR')",MX,BR,0.9877698724925343,0.9915598687100299,0.989664870601282,MEX,BRA
831,"('MD', 'BR')",MD,BR,0.9913519994302821,0.9876996432723449,0.9895258213513135,MDA,BRA
1377,"('US', 'MX')",US,MX,0.9863282996286379,0.9927076431901927,0.9895179714094153,USA,MEX
49,"('AU', 'LU')",AU,LU,0.9812120392312059,0.9978111301075512,0.9895115846693785,AUS,LUX
985,"('NZ', 'CZ')",NZ,CZ,0.9792988600711316,0.999687717178977,0.9894932886250543,NZL,CZE
877,"('MX', 'PE')",MX,PE,0.9828096004601634,0.9961719319887014,0.9894907662244323,MEX,PER
374,"('ES', 'IS')",ES,IS,0.9806405341856302,0.9983105526959586,0.9894755434407945,ESP,ISL
849,"('MD', 'SC')",MD,SC,0.981807289824245,0.9971179571971925,0.9894626235107188,MDA,SYC
56,"('AU', 'PE')",AU,PE,0.984223626612431,0.9945978806007432,0.989410753606587,AUS,PER
501,"('HU', 'CA')",HU,CA,0.9856326383366749,0.9930497826512826,0.9893412104939787,HUN,CAN
1358,"('US', 'CZ')",US,CZ,0.980232935059984,0.9984262976696084,0.9893296163647962,USA,CZE
66,"('AU', 'SK')",AU,SK,0.9792776374336413,0.9993464973775841,0.9893120674056126,AUS,SVK
21,"('AT', 'CR')",AT,CR,0.9796512047956418,0.9988508704732272,0.9892510376344346,AUT,CRI
1175,"('SE', 'DZ')",SE,DZ,0.9786061818158452,0.9998356861686754,0.9892209339922603,SWE,DZA
1076,"('RO', 'CA')",RO,CA,0.9960475645383636,0.9823433273473055,0.9891954459428345,ROU,CAN
986,"('NZ', 'DK')",NZ,DK,0.9800731469365453,0.9981764482709461,0.9891247976037457,NZL,DNK
921,"('NL', 'FR')",NL,FR,0.9799567135115456,0.9982219783062787,0.9890893459089121,NLD,FRA
1016,"('PE', 'BR')",PE,BR,0.9903307334052549,0.9877313397494435,0.9890310365773491,PER,BRA
618,"('JP', 'BR')",JP,BR,0.9924439886044605,0.985490583696348,0.9889672861504042,JPN,BRA
277,"('CO', 'BR')",CO,BR,0.989618289431484,0.9881933649765742,0.9889058272040291,COL,BRA
337,"('DK', 'AT')",DK,AT,0.9794429684607814,0.9983433416953108,0.9888931550780461,DNK,AUT
295,"('CO', 'IS')",CO,IS,0.981925625277657,0.9957148428516699,0.9888202340646635,COL,ISL
1107,"('RO', 'SE')",RO,SE,0.9952249058948487,0.9824081860364625,0.9888165459656556,ROU,SWE
46,"('AU', 'KE')",AU,KE,0.990304924590547,0.9871532886947244,0.9887291066426357,AUS,KEN
206,"('CA', 'PL')",CA,PL,0.9795534742531243,0.9978408844197051,0.9886971793364148,CAN,POL
378,"('ES', 'MX')",ES,MX,0.9867156449240247,0.9906584308648873,0.988687037894456,ESP,MEX
286,"('CO', 'ES')",CO,ES,0.9828594781171628,0.9940249345983418,0.9884422063577523,COL,ESP
764,"('LT', 'CZ')",LT,CZ,0.9778947228383579,0.9989146278117269,0.9884046753250424,LTU,CZE
345,"('DK', 'PL')",DK,PL,0.9791786191862891,0.9974575600454146,0.9883180896158519,DNK,POL
382,"('ES', 'PE')",ES,PE,0.9819228085180721,0.9944869598254725,0.9882048841717723,ESP,PER
571,"('IL', 'SC')",IL,SC,0.9795623266675516,0.9967196587876062,0.9881409927275788,ISR,SYC
331,"('CZ', 'IL')",CZ,IL,0.9773583377400684,0.9988439106366003,0.9881011241883344,CZE,ISR
673,"('KE', 'ES')",KE,ES,0.9891499813271855,0.9870423679194539,0.9880961746233197,KEN,ESP
604,"('IS', 'DK')",IS,DK,0.9795332920891691,0.9966488452929357,0.9880910686910525,ISL,DNK
1074,"('RO', 'BE')",RO,BE,0.9942441047245967,0.9818694930496977,0.9880567988871471,ROU,BEL
282,"('CO', 'CR')",CO,CR,0.9830909037238309,0.9928707559732354,0.9879808298485331,COL,CRI
500,"('HU', 'BR')",HU,BR,0.9887314477893743,0.9871234851463201,0.9879274664678472,HUN,BRA
1357,"('US', 'CR')",US,CR,0.9790457375807275,0.9967970699988746,0.9879214037898011,USA,CRI
969,"('NO', 'PL')",NO,PL,0.977634923717763,0.998187465701441,0.987911194709602,NOR,POL
681,"('KE', 'IS')",KE,IS,0.9870443394976016,0.9887322761727818,0.9878883078351917,KEN,ISL
763,"('LT', 'CR')",LT,CR,0.9763163666831757,0.9994570664161114,0.9878867165496436,LTU,CRI
853,"('MX', 'AT')",MX,AT,0.9850636833036274,0.9906538427158391,0.9878587630097333,MEX,AUT
341,"('DK', 'DZ')",DK,DZ,0.9759524188226691,0.9995172204835421,0.9877348196531056,DNK,DZA
962,"('NO', 'DZ')",NO,DZ,0.9756875096491799,0.9997537957590037,0.9877206527040918,NOR,DZA
1390,"('US', 'SE')",US,SE,0.9793735531071128,0.995971075535825,0.987672314321469,USA,SWE
428,"('FR', 'HU')",FR,HU,0.9819072568678371,0.9934326460762875,0.9876699514720623,FRA,HUN
679,"('KE', 'IL')",KE,IL,0.9889521635817448,0.9863608666523949,0.9876565151170698,KEN,ISR
376,"('ES', 'LU')",ES,LU,0.9773311686374826,0.9979220508828218,0.9876266097601523,ESP,LUX
360,"('ES', 'CA')",ES,CA,0.9772642986074245,0.9979554291719733,0.9876098638896988,ESP,CAN
818,"('LU', 'PL')",LU,PL,0.9773427780515003,0.9978742627088566,0.9876085203801784,LUX,POL
1094,"('RO', 'LU')",RO,LU,0.9928417917354336,0.9823099490581539,0.9875758703967938,ROU,LUX
1190,"('SE', 'PL')",SE,PL,0.9773306370075694,0.9977760257305479,0.9875533313690587,SWE,POL
514,"('HU', 'LU')",HU,LU,0.982087880537637,0.9930164043621321,0.9875521424498845,HUN,LUX
1031,"('PE', 'IS')",PE,IS,0.978918122127676,0.9961768680788006,0.9875474951032384,PER,ISL
948,"('NL', 'SK')",NL,SK,0.975741683856368,0.999351890893012,0.9875467873746899,NLD,SVK
438,"('FR', 'PL')",FR,PL,0.9776222544274779,0.9974580209947013,0.9875401377110895,FRA,POL
782,"('LT', 'NO')",LT,NO,0.9768090315970924,0.9982196319821686,0.9875143317896304,LTU,NOR
388,"('ES', 'SC')",ES,SC,0.9775999201629596,0.9974011600546663,0.9875005401088129,ESP,SYC
1354,"('US', 'CA')",US,CA,0.9790612556105213,0.9959062168466678,0.9874837362285945,USA,CAN
760,"('LT', 'CA')",LT,CA,0.9763951788845318,0.9985662132639046,0.9874806960742182,LTU,CAN
368,"('ES', 'FR')",ES,FR,0.9765134862808922,0.9983382925969772,0.9874258894389347,ESP,FRA
26,"('AU', 'BE')",AU,BE,0.9774608818658588,0.9973706740990951,0.9874157779824769,AUS,BEL
293,"('CO', 'IL')",CO,IL,0.9814162444558229,0.9933434333312828,0.9873798388935529,COL,ISR
1008,"('NZ', 'SK')",NZ,SK,0.9753061374834389,0.9993978818776322,0.9873520096805355,NZL,SVK
656,"('JP', 'SK')",JP,SK,0.9772056712011763,0.9974926002255411,0.9873491357133587,JPN,SVK
835,"('MD', 'DK')",MD,DK,0.9817483175468866,0.9928569488995493,0.987302633223218,MDA,DNK
1352,"('US', 'BR')",US,BR,0.9902728171489324,0.9842670509509349,0.9872699340499337,USA,BRA
51,"('AU', 'MX')",AU,MX,0.9837410611727969,0.9907693516401578,0.9872552064064773,AUS,MEX
984,"('NZ', 'CR')",NZ,CR,0.9758202762915528,0.9986839770488614,0.987252126670207,NZL,CRI
1249,"('SK', 'PL')",SK,PL,0.9793671278235805,0.9950309682954187,0.9871990480594997,SVK,POL
980,"('NZ', 'BR')",NZ,BR,0.9919889752560435,0.9823801439009482,0.9871845595784958,NZL,BRA
624,"('JP', 'DK')",JP,DK,0.9792672153429492,0.995066008475545,0.9871666119092471,JPN,DNK
1166,"('SE', 'AT')",SE,AT,0.9762738449616877,0.9980248760101775,0.9871493604859326,SWE,AUT
199,"('CA', 'DZ')",CA,DZ,0.9743701856667543,0.9999005448578325,0.9871353652622934,CAN,DZA
1380,"('US', 'NO')",US,NO,0.9786490446590682,0.9955596355649319,0.9871043401120001,USA,NOR
792,"('LT', 'SE')",LT,SE,0.9755624988104091,0.9986310719530628,0.987096785381736,LTU,SWE
1186,"('SE', 'MD')",SE,MD,0.9815544531763801,0.992538483214416,0.9870464681953981,SWE,MDA
808,"('LU', 'DZ')",LU,DZ,0.9741377880310093,0.999933923146984,0.9870358555889966,LUX,DZA
794,"('LT', 'SK')",LT,SK,0.9752172810679608,0.9986247925103823,0.9869210367891715,LTU,SVK
1098,"('RO', 'NO')",RO,NO,0.9918420029512972,0.9819967460655684,0.9869193745084328,ROU,NOR
1086,"('RO', 'GR')",RO,GR,0.9923710075257299,0.9813055084674944,0.9868382579966122,ROU,GRC
612,"('IS', 'SC')",IS,SC,0.974250483214685,0.9990910683079932,0.9866707757613391,ISL,SYC
79,"('BE', 'IL')",BE,IL,0.9750385328584368,0.9981630961414257,0.9866008144999312,BEL,ISR
600,"('IS', 'AT')",IS,AT,0.9748500573011024,0.9983059645469116,0.986578010924007,ISL,AUT
